ORDER_ITEM_ID,ORDER_ID,MENU_ITEM_ID,QUANTITY,ITEM_PRICE_AT_ORDER
O0000001_1,O0000001,M017,2,244.65
O0000001_2,O0000001,M042,2,447.63
O0000002_1,O0000002,M090,1,491.58
O0000002_2,O0000002,M003,2,413.09
O0000002_3,O0000002,M024,3,276.40
O0000002_4,O0000002,M099,3,371.13
O0000002_5,O0000002,M056,3,533.63
O0000003_1,O0000003,M063,3,364.30
O0000003_2,O0000003,M091,3,273.74
O0000003_3,O0000003,M092,2,572.09
O0000003_4,O0000003,M015,2,188.63
O0000004_1,O0000004,M018,3,615.50
O0000004_2,O0000004,M077,1,414.39
O0000005_1,O0000005,M077,1,456.96
O0000005_2,O0000005,M075,2,280.68
O0000005_3,O0000005,M014,3,346.61
O0000005_4,O0000005,M055,3,263.78
O0000006_1,O0000006,M050,3,247.91
O0000006_2,O0000006,M013,2,341.63
O0000006_3,O0000006,M016,3,185.33
O0000006_4,O0000006,M025,3,299.26
O0000006_5,O0000006,M008,3,593.01
O0000007_1,O0000007,M008,2,600.82
O0000007_2,O0000007,M020,2,356.72
O0000007_3,O0000007,M020,1,351.29
O0000007_4,O0000007,M077,3,399.54
O0000007_5,O0000007,M017,3,246.72
O0000008_1,O0000008,M084,3,677.57
O0000008_2,O0000008,M014,1,371.93
O0000009_1,O0000009,M047,1,520.67
O0000009_2,O0000009,M033,3,273.51
O0000009_3,O0000009,M100,2,542.34
O0000009_4,O0000009,M037,2,471.46
O0000010_1,O0000010,M026,3,603.32
O0000011_1,O0000011,M058,1,322.51
O0000011_2,O0000011,M048,1,515.99
O0000012_1,O0000012,M067,1,677.01
O0000012_2,O0000012,M038,1,286.95
O0000013_1,O0000013,M090,3,550.02
O0000013_2,O0000013,M065,2,314.80
O0000013_3,O0000013,M029,2,304.09
O0000014_1,O0000014,M097,3,610.75
O0000014_2,O0000014,M079,2,401.30
O0000014_3,O0000014,M099,2,347.56
O0000015_1,O0000015,M043,3,296.02
O0000015_2,O0000015,M064,2,445.58
O0000015_3,O0000015,M077,3,457.28
O0000015_4,O0000015,M058,1,308.37
O0000016_1,O0000016,M016,1,186.10
O0000017_1,O0000017,M080,1,241.23
O0000018_1,O0000018,M092,3,477.10
O0000018_2,O0000018,M023,2,204.69
O0000019_1,O0000019,M096,1,686.53
O0000019_2,O0000019,M066,2,257.52
O0000019_3,O0000019,M025,2,310.03
O0000020_1,O0000020,M045,2,621.50
O0000020_2,O0000020,M068,3,568.49
O0000020_3,O0000020,M009,2,580.30
O0000021_1,O0000021,M093,3,401.08
O0000021_2,O0000021,M044,2,651.08
O0000021_3,O0000021,M078,3,667.84
O0000021_4,O0000021,M033,1,267.87
O0000022_1,O0000022,M073,3,289.42
O0000022_2,O0000022,M030,2,690.94
O0000022_3,O0000022,M099,2,330.02
O0000022_4,O0000022,M071,1,686.69
O0000022_5,O0000022,M010,2,747.28
O0000023_1,O0000023,M028,2,363.16
O0000023_2,O0000023,M047,3,494.46
O0000023_3,O0000023,M042,2,482.78
O0000024_1,O0000024,M002,2,185.19
O0000024_2,O0000024,M012,1,703.38
O0000024_3,O0000024,M030,1,719.16
O0000024_4,O0000024,M047,1,441.79
O0000024_5,O0000024,M091,3,277.25
O0000025_1,O0000025,M011,1,756.48
O0000025_2,O0000025,M069,2,404.54
O0000026_1,O0000026,M065,3,287.52
O0000026_2,O0000026,M032,1,670.29
O0000026_3,O0000026,M024,3,291.37
O0000027_1,O0000027,M013,2,337.61
O0000028_1,O0000028,M028,3,424.62
O0000029_1,O0000029,M059,2,529.03
O0000029_2,O0000029,M071,2,724.75
O0000029_3,O0000029,M059,2,599.49
O0000029_4,O0000029,M046,1,423.57
O0000029_5,O0000029,M088,3,517.30
O0000030_1,O0000030,M086,1,657.38
O0000030_2,O0000030,M093,2,413.66
O0000031_1,O0000031,M051,1,405.76
O0000031_2,O0000031,M008,1,554.57
O0000031_3,O0000031,M037,2,547.46
O0000031_4,O0000031,M041,1,393.99
O0000032_1,O0000032,M022,2,491.39
O0000032_2,O0000032,M014,2,354.12
O0000032_3,O0000032,M068,3,548.58
O0000032_4,O0000032,M011,2,705.79
O0000032_5,O0000032,M077,1,432.53
O0000033_1,O0000033,M016,3,223.17
O0000034_1,O0000034,M085,2,446.07
O0000034_2,O0000034,M051,3,475.27
O0000034_3,O0000034,M096,2,687.59
O0000035_1,O0000035,M079,3,418.30
O0000035_2,O0000035,M023,1,206.19
O0000035_3,O0000035,M024,3,254.07
O0000036_1,O0000036,M084,2,638.19
O0000036_2,O0000036,M079,2,428.18
O0000037_1,O0000037,M060,1,672.64
O0000037_2,O0000037,M077,3,442.77
O0000037_3,O0000037,M066,3,261.03
O0000037_4,O0000037,M013,2,335.06
O0000038_1,O0000038,M038,2,296.47
O0000038_2,O0000038,M012,3,743.10
O0000038_3,O0000038,M033,3,245.25
O0000039_1,O0000039,M074,2,300.37
O0000039_2,O0000039,M089,3,236.54
O0000040_1,O0000040,M019,1,379.28
O0000040_2,O0000040,M013,2,297.88
O0000040_3,O0000040,M029,1,279.92
O0000041_1,O0000041,M079,2,480.11
O0000041_2,O0000041,M068,1,545.30
O0000041_3,O0000041,M006,3,527.01
O0000041_4,O0000041,M055,3,224.35
O0000041_5,O0000041,M040,3,661.85
O0000042_1,O0000042,M013,1,305.53
O0000043_1,O0000043,M050,3,289.68
O0000044_1,O0000044,M029,2,296.77
O0000044_2,O0000044,M027,2,471.89
O0000045_1,O0000045,M028,2,371.68
O0000045_2,O0000045,M044,2,698.42
O0000045_3,O0000045,M037,1,504.46
O0000045_4,O0000045,M091,2,315.02
O0000046_1,O0000046,M004,3,152.92
O0000047_1,O0000047,M036,3,438.19
O0000047_2,O0000047,M066,2,263.95
O0000047_3,O0000047,M087,1,195.56
O0000048_1,O0000048,M099,1,331.03
O0000048_2,O0000048,M091,3,324.70
O0000049_1,O0000049,M011,3,760.56
O0000050_1,O0000050,M044,2,659.36
O0000050_2,O0000050,M077,3,411.01
O0000050_3,O0000050,M084,3,676.90
O0000051_1,O0000051,M014,2,312.71
O0000051_2,O0000051,M011,1,699.17
O0000051_3,O0000051,M009,3,587.58
O0000051_4,O0000051,M089,3,256.15
O0000051_5,O0000051,M049,1,652.33
O0000052_1,O0000052,M098,3,706.02
O0000052_2,O0000052,M019,3,367.48
O0000053_1,O0000053,M064,1,516.55
O0000053_2,O0000053,M077,3,466.02
O0000053_3,O0000053,M024,2,300.43
O0000054_1,O0000054,M073,1,283.37
O0000055_1,O0000055,M015,1,193.42
O0000056_1,O0000056,M057,3,270.30
O0000056_2,O0000056,M030,1,617.53
O0000057_1,O0000057,M026,3,670.54
O0000057_2,O0000057,M017,3,213.10
O0000057_3,O0000057,M013,2,292.49
O0000057_4,O0000057,M027,1,413.33
O0000058_1,O0000058,M081,3,402.94
O0000058_2,O0000058,M038,1,337.87
O0000058_3,O0000058,M074,1,320.42
O0000059_1,O0000059,M094,3,456.29
O0000059_2,O0000059,M003,1,496.88
O0000060_1,O0000060,M015,1,183.42
O0000060_2,O0000060,M066,1,267.55
O0000060_3,O0000060,M060,2,665.78
O0000060_4,O0000060,M082,1,375.94
O0000060_5,O0000060,M055,2,225.06
O0000061_1,O0000061,M026,3,650.01
O0000061_2,O0000061,M009,2,548.09
O0000061_3,O0000061,M038,2,286.96
O0000061_4,O0000061,M021,2,369.34
O0000062_1,O0000062,M083,3,707.16
O0000062_2,O0000062,M041,3,435.98
O0000063_1,O0000063,M020,1,368.38
O0000063_2,O0000063,M044,2,614.21
O0000063_3,O0000063,M052,3,702.59
O0000063_4,O0000063,M030,3,681.82
O0000063_5,O0000063,M066,3,259.08
O0000064_1,O0000064,M039,3,409.37
O0000064_2,O0000064,M004,3,181.13
O0000065_1,O0000065,M100,3,548.30
O0000065_2,O0000065,M074,1,301.40
O0000065_3,O0000065,M094,2,378.71
O0000065_4,O0000065,M090,1,532.90
O0000066_1,O0000066,M063,2,332.89
O0000066_2,O0000066,M066,2,267.35
O0000066_3,O0000066,M026,2,675.43
O0000066_4,O0000066,M037,1,485.00
O0000067_1,O0000067,M091,3,266.42
O0000068_1,O0000068,M010,1,710.79
O0000068_2,O0000068,M002,2,179.39
O0000068_3,O0000068,M026,1,558.76
O0000069_1,O0000069,M100,2,594.12
O0000069_2,O0000069,M066,2,273.88
O0000070_1,O0000070,M095,1,343.46
O0000071_1,O0000071,M008,2,591.64
O0000071_2,O0000071,M089,2,224.21
O0000071_3,O0000071,M097,3,679.32
O0000071_4,O0000071,M091,2,306.58
O0000071_5,O0000071,M026,3,573.64
O0000072_1,O0000072,M057,3,290.77
O0000072_2,O0000072,M051,1,455.40
O0000072_3,O0000072,M098,1,730.41
O0000072_4,O0000072,M090,1,488.77
O0000072_5,O0000072,M004,3,181.82
O0000073_1,O0000073,M080,3,236.40
O0000073_2,O0000073,M026,1,626.70
O0000074_1,O0000074,M050,2,255.43
O0000074_2,O0000074,M092,3,539.49
O0000074_3,O0000074,M042,3,505.68
O0000075_1,O0000075,M020,1,408.27
O0000075_2,O0000075,M029,3,268.58
O0000075_3,O0000075,M055,3,232.07
O0000075_4,O0000075,M049,1,642.66
O0000075_5,O0000075,M096,1,634.56
O0000076_1,O0000076,M006,2,623.73
O0000076_2,O0000076,M097,1,632.32
O0000076_3,O0000076,M050,3,290.82
O0000077_1,O0000077,M004,1,174.07
O0000077_2,O0000077,M022,1,475.53
O0000077_3,O0000077,M085,2,431.52
O0000077_4,O0000077,M010,2,728.20
O0000077_5,O0000077,M060,3,582.43
O0000078_1,O0000078,M081,3,363.17
O0000079_1,O0000079,M037,1,565.68
O0000080_1,O0000080,M065,1,337.12
O0000080_2,O0000080,M099,2,352.32
O0000080_3,O0000080,M010,3,714.24
O0000080_4,O0000080,M058,2,290.98
O0000081_1,O0000081,M059,1,555.99
O0000081_2,O0000081,M097,1,663.38
O0000081_3,O0000081,M048,3,561.49
O0000081_4,O0000081,M053,3,598.82
O0000082_1,O0000082,M017,2,247.15
O0000082_2,O0000082,M027,3,457.02
O0000082_3,O0000082,M014,1,362.62
O0000083_1,O0000083,M076,1,734.35
O0000083_2,O0000083,M065,1,288.45
O0000083_3,O0000083,M045,1,631.77
O0000083_4,O0000083,M011,2,652.62
O0000083_5,O0000083,M071,1,716.92
O0000084_1,O0000084,M003,2,464.64
O0000084_2,O0000084,M094,1,429.62
O0000085_1,O0000085,M079,1,477.34
O0000085_2,O0000085,M073,1,328.63
O0000085_3,O0000085,M067,1,706.80
O0000085_4,O0000085,M086,1,711.25
O0000085_5,O0000085,M047,1,443.15
O0000086_1,O0000086,M043,3,281.52
O0000086_2,O0000086,M041,3,434.03
O0000086_3,O0000086,M094,3,428.72
O0000086_4,O0000086,M046,3,477.73
O0000087_1,O0000087,M031,3,370.49
O0000087_2,O0000087,M055,1,238.54
O0000087_3,O0000087,M020,1,381.09
O0000088_1,O0000088,M042,3,490.63
O0000089_1,O0000089,M079,3,395.50
O0000089_2,O0000089,M060,3,614.31
O0000090_1,O0000090,M010,1,710.72
O0000091_1,O0000091,M002,1,174.35
O0000091_2,O0000091,M091,3,267.19
O0000092_1,O0000092,M061,1,741.58
O0000092_2,O0000092,M091,3,278.94
O0000093_1,O0000093,M001,3,320.99
O0000093_2,O0000093,M089,1,262.45
O0000094_1,O0000094,M040,2,607.75
O0000094_2,O0000094,M074,1,326.24
O0000094_3,O0000094,M044,2,581.42
O0000094_4,O0000094,M093,3,408.00
O0000095_1,O0000095,M014,1,340.52
O0000095_2,O0000095,M085,2,480.47
