ORDER_ID,CUSTOMER_ID,RESTAURANT_ID,COUPON_ID,ORDER_TIMESTAMP,DELIVERY_FEE,SUB_TOTAL_AMOUNT,DISCOUNT_AMOUNT,COMMISSION_REVENUE,PAYMENT_PROCESSING_FEE,TOTAL_AMOUNT,ORDER_RATING
O0000001,C00599,R0172,,2025-10-14,109.94,1109.34,0.00,236.29,30.48,1219.28,4.36
O0000002,C04220,R0438,CP070,2024-11-21,86.40,4842.87,968.57,1385.06,99.02,3960.70,2.40
O0000003,C06543,R0297,,2024-12-24,30.50,858.58,0.00,294.49,22.23,889.08,4.55
O0000004,C00550,R0984,CP047,2025-05-18,130.51,1021.08,153.16,209.32,24.96,998.43,
O0000005,C07880,R0228,,2025-09-10,85.33,3215.32,0.00,935.66,82.52,3300.65,1.29
O0000006,C04865,R0828,,2025-04-20,37.62,2547.55,0.00,596.13,64.63,2585.17,4.54
O0000007,C00767,R0309,,2025-04-15,74.52,1143.35,0.00,304.13,30.45,1217.87,4.97
O0000008,C02294,R0099,CP074,2025-07-17,137.10,5176.04,1552.81,1718.45,94.01,3760.33,4.08
O0000009,C03794,R0338,CP092,2025-05-03,131.52,4407.17,2203.58,1084.16,58.38,2335.11,3.71
O0000010,C07638,R0092,CP063,2025-03-08,75.78,4362.55,436.25,1286.95,100.05,4002.08,3.80
O0000011,C05599,R0135,,2025-02-26,144.58,942.44,0.00,270.48,27.18,1087.02,
O0000012,C00472,R0369,CP064,2025-05-14,133.08,1875.65,937.82,635.85,26.77,1070.91,1.76
O0000013,C07270,R0344,,2025-08-23,56.84,4172.95,0.00,1251.88,105.74,4229.79,
O0000014,C09991,R0455,CP054,2024-12-16,114.73,3097.70,1548.85,823.99,41.59,1663.58,3.90
O0000015,C03768,R0787,,2025-02-02,67.86,2182.75,0.00,718.12,56.27,2250.61,4.74
O0000016,C04847,R0081,,2025-06-06,149.38,480.12,0.00,125.79,15.74,629.50,
O0000017,C06082,R0390,,2025-04-02,42.37,6897.02,0.00,1682.87,173.48,6939.39,1.70
O0000018,C06499,R0264,,2025-03-27,126.36,4043.55,0.00,942.15,104.25,4169.91,3.31
O0000019,C08674,R0308,,2025-08-28,143.24,3491.01,0.00,1169.49,90.86,3634.25,3.25
O0000020,C05605,R0514,,2025-03-30,45.80,1377.32,0.00,414.57,35.58,1423.12,2.75
O0000021,C02526,R0379,CP011,2025-08-02,147.31,3669.54,550.43,796.29,81.66,3266.42,3.08
O0000022,C00709,R0554,,2025-05-04,131.99,3502.89,0.00,942.28,90.87,3634.88,1.00
O0000023,C05532,R0457,,2025-03-18,70.45,2387.68,0.00,709.14,61.45,2458.13,3.61
O0000024,C09263,R0138,,2025-03-02,39.36,941.15,0.00,209.88,24.51,980.51,4.81
O0000025,C02711,R0659,,2025-09-22,77.48,3777.34,0.00,1053.88,96.37,3854.82,4.07
O0000026,C03714,R0520,,2025-05-22,105.84,3815.60,0.00,1266.78,98.04,3921.44,4.34
O0000027,C00134,R0838,,2025-03-04,30.29,2859.08,0.00,929.20,72.23,2889.37,1.55
